Iteration	end_1	end_2	end_3	end_4	end_5	end_6	end_7	end_8	end_9	end_10	end_11	end_12	end_13	end_14	end_15	end_16	end_17	end_18	end_19	end_20	end_21	end_22	end_23	end_24	end_25	end_26	end_27	end_28	end_29	end_30	end_31	end_32	end_33	end_34	end_35	end_36	end_37	end_38	end_39	end_40	end_41	end_42	end_43	end_44	end_45	end_46	end_47	end_48	end_49	end_50	end_51	end_52	end_53	end_54	end_55	end_56	end_57	end_58	end_59	end_60	end_61	end_62	end_63	end_64	end_65	end_66	end_67	end_68	end_69	end_70	end_71	end_72	end_73	end_74	end_75	end_76	end_77	end_78	end_79	end_80	end_81	end_82	end_83	end_84	end_85	end_86	end_87	end_88	end_89	end_90	end_91	end_92	end_93	end_94	end_95	end_96	end_97	end_98	end_99	end_100	end_101	end_102	end_103	end_104	end_105	end_106	end_107	end_108	end_109	end_110	end_111	end_112	end_113	end_114	end_115	end_116	end_117	end_118	end_119	end_120	end_121	end_122	end_123	end_124	end_125	end_126	end_127	end_128	end_129	end_130	end_131	end_132	end_133	end_134	end_135	end_136	end_137	end_138	end_139	end_140	end_141	end_142	end_143	end_144	end_145	end_146	end_147	end_148	end_149	end_150	end_151	end_152	end_153	end_154	end_155	end_156	end_157	end_158	end_159	end_160	end_161	end_162	end_163	end_164	end_165	end_166	end_167	end_168	end_169	end_170	end_171	end_172	end_173	end_174	end_175	end_176	end_177	end_178	end_179	end_180	end_181	end_182	end_183	end_184	end_185	end_186	end_187	end_188	end_189	end_190	end_191	end_192	end_193	end_194	end_195	end_196	end_197	end_198	end_199	end_200	end_201	end_202	end_203	end_204	end_205	end_206	end_207	end_208	end_209	end_210	end_211	end_212	end_213	end_214	end_215	end_216	end_217	end_218	end_219	end_220	end_221	end_222	end_223	end_224	end_225	end_226	end_227	end_228	end_229	end_230	end_231	end_232	end_233	end_234	end_235	end_236	end_237	end_238	end_239	end_240	end_241	end_242	end_243	end_244	end_245	end_246	end_247	end_248	end_249	end_250	end_251	end_252	end_253	end_254	end_255	end_256	end_257	end_258	end_259	end_260	end_261	end_262	end_263	end_264	end_265	end_266	end_267	end_268	end_269	end_270	end_271	end_272	end_273	end_274	end_275	end_276	end_277	end_278	end_279	end_280	end_281	end_282	end_283	end_284	end_285	end_286	end_287	end_288	end_289	end_290	end_291	end_292	end_293	end_294	end_295	end_296	end_297	end_298	end_299	end_300	end_301	end_302	end_303	end_304	end_305	end_306	end_307	end_308	end_309	end_310	end_311	end_312	end_313	end_314	end_315	end_316	end_317	end_318	end_319	end_320	end_321	end_322	end_323	end_324	end_325	end_326	end_327	end_328	end_329	end_330	end_331	end_332	end_333	end_334	end_335
90450	0	0	0	1	3	3	3	3	2	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	1	3	1	1	0	1	0	0	3	1	1	1	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	3	1	1	3	1	3	1	1	1	1	1	1	3	3	1	3	1	1	3	1	1	1	1	3	1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	3	3	1	1	1	1	3	1	1	1	3	3	3	1	1	3	1	3	3	1	1	1	0	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	0	1	1	1	1	1	3	1
90500	0	0	0	1	3	3	3	1	2	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	1	3	1	1	0	1	0	1	3	1	1	1	3	1	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	1	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	1	3	3	3	1	3	3	1	3	1	1	1	1	1	1	3	3	1	1	1	1	3	3	1	1	1	3	1	1	1	3	1	1	3	3	1	1	1	1	1	1	3	1	1	0	1	0	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	3	1	1	1	1	1	1	1	3	1	3	1	1	1	3	1	3	3	1	1	3	1	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	0	3	1	1	1	3	3	1
90550	0	0	0	1	3	3	3	3	2	1	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	3	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	1	3	3	3	0	1	3	1	3	1	3	1	1	1	1	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	3	3	3	1	1	1	1	1	3	3	3	1	0	0	0	0	0	1	1	1	0	3	3	3	0	1	3	1	1	1	1	1	3	3	1	1	3	1	3	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	3	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	1	3	3	1	1	3	0	3	0	0	1	3	2	1
90600	0	0	0	1	3	3	3	1	2	1	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	1	1	1	3	1	3	1	1	1	1	1	1	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	3	1	1	1	1	1	1	3	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	0	2	3	3	0	3	3	0	0	0	0	1	1	1	1	1
90650	0	0	0	1	3	3	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	3	3	1	3	3	3	3	3	1	1	1	1	1	3	3	1	1	1	1	3	1	1	1	1	3	1	1	1	0	1	3	3	1	1	1	1	1	1	3	3	1	1	0	1	0	0	0	1	1	1	1	1	3	3	1	1	1	1	1	1	1	3	1	3	3	3	3	3	3	3	3	1	1	3	1	3	1	3	1	3	3	1	1	3	1	3	3	1	1	1	1	1	1	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	3	1	3	0	3	3	3	1	1	3	3
90700	0	0	0	1	3	3	3	3	2	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	1	3	1	1	0	1	0	1	3	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	1	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	3	3	0	1	1	3	1	3	1	1	1	1	1	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	3	1	1	0	1	0	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3	3	3	0	3	0	0	1	3	0	1
90750	0	0	0	1	3	3	3	3	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	3	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	1	1	3	3	3	3	3	1	1	1	1	1	3	3	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	3	3	1	1	1	1	1	1	1	3	1	1	1	1	0	0	0	1	1	1	1	3	3	3	1	1	1	1	1	1	1	3	0	3	1	1	3	3	3	1	1	1	1	3	1	1	3	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	2	3	3	1	3	3	3	0	3	3	3	1	3	1	3
90800	0	0	0	1	3	3	3	1	2	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	0	3	3	3	3	3	0	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	3	1	0	0	3	0	3	0	0	1	1	1	3	3	3	1	1	1	1	3	1	1	1	1	1	1	1	3	3	1	3	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	1	0	1	1	1	1	0	3	3	1	1	3	0	3	3	3	1	1	3	1	1	1	3	1	3	3	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	0	0	0	3	0	1	1	1	0
90850	0	0	0	1	3	3	3	1	2	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	1	3	1	1	0	1	0	0	3	1	1	3	3	1	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	3	1	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	1	1	1	3	1	3	1	1	1	1	1	3	3	3	1	1	1	1	3	1	1	3	1	1	1	1	3	1	3	3	1	1	1	1	1	1	1	1	3	1	1	0	1	0	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	1	1	1	1	3	1	1	1	1	1	1	3	3	3	1	1	1	1	0	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	1	1	1	3	0	3	1	1	1	3	1	1
90900	0	0	0	1	3	3	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	1	3	3	3	1	3	3	3	3	3	3	1	1	1	3	1	3	1	1	1	3	3	1	1	3	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	3	3	3	1	0	1	0	0	0	1	1	1	1	3	3	3	1	1	3	1	1	1	1	3	3	3	3	3	3	3	3	3	3	1	1	3	1	1	1	3	3	3	3	3	1	3	1	3	3	1	1	1	1	1	1	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	1	3	1	3
90950	0	0	0	1	3	3	3	3	2	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	0	1	3	1	1	0	1	0	0	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	1	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	1	1	1	3	1	3	1	1	1	1	1	3	1	3	1	1	1	3	3	1	1	3	1	1	1	3	1	1	3	3	1	1	1	1	1	1	1	1	3	1	1	0	0	0	0	0	1	1	1	0	1	3	1	0	1	1	1	1	1	1	1	3	3	3	3	1	1	3	1	1	1	1	3	1	1	1	3	1	1	3	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	1	1	1	3	1	1	1	1	0	1	1	1	1	3	1	1
91000	0	0	0	1	3	3	3	3	2	1	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	1	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	0	3	3	3	3	3	0	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	3	1	0	0	3	0	3	0	0	1	1	1	3	1	3	1	1	1	1	3	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	0	1	0	0	0	0	0	1	1	1	0	0	3	0	0	1	0	1	1	1	1	0	3	3	3	3	1	0	3	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	2	3	3	3	3	3	1	0	0	0	0	1	3	1	0
91050	0	0	0	1	3	3	3	1	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	0	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	1	3	3	1	3	1	3	1	3	1	3	1	1	1	3	1	3	1	1	1	3	3	1	1	3	1	1	1	1	1	1	1	3	1	1	3	3	1	1	1	3	3	3	3	0	1	0	0	0	1	1	1	1	1	3	3	1	1	3	1	1	1	1	3	3	3	3	3	3	1	3	3	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	1	1	3	3	3	1	3	3	1	0	1	3	3	1	3	3	1
91100	0	0	0	1	3	3	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	1	3	1	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	3	3	3	3	1	3	3	3	3	3	1	1	3	3	1	3	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	3	3	1	1	3	1	3	3	1	0	3	0	0	0	1	1	1	3	3	3	3	3	1	3	1	1	1	1	3	3	3	3	3	1	1	3	3	1	1	3	1	1	1	1	3	1	3	1	3	3	3	1	3	3	1	1	1	1	1	1	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	0	3	3	3	1	1	3	3
91150	0	0	0	1	3	3	3	3	2	1	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	1	3	1	1	0	1	0	1	3	1	1	1	3	3	3	3	1	1	1	3	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	1	1	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	3	3	3	0	0	3	0	3	0	0	1	1	1	3	3	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	3	0	1	0	0	0	0	0	1	1	1	0	0	3	0	0	1	0	1	1	1	1	0	1	3	3	3	0	0	3	1	1	1	3	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	0	3	3	3	3	3	3	1	1	0	0	0	0	1	3	0
91200	0	0	0	1	3	3	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	0	1	3	1	1	0	1	0	0	3	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	0	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	3	1	3	3	3	0	0	0	0	3	0	0	3	3	3	1	3	3	1	3	1	1	1	1	3	3	3	3	3	1	3	3	3	1	1	3	3	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	0	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	3	3	3	3	3	3	0	1	1	0	1	3	3	3
91250	0	0	0	1	3	3	3	3	2	1	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	1	3	1	1	0	1	0	0	3	1	1	1	3	3	3	3	1	1	1	3	1	1	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	3	1	3	1	3	3	1	1	1	3	3	3	3	1	0	3	3	3	3	3	1	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	3	1	1	1	3	0	3	0	0	1	3	1	3	3	1	3	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	0	1	0	0	0	0	0	1	1	1	1	1	3	0	1	1	1	1	1	1	1	0	3	3	3	3	1	0	3	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	0	1	3	3	0	1	1	0	0	0	0	0	0	3	1	0
91300	0	0	0	1	3	3	3	3	2	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	1	3	1	1	0	1	0	0	3	1	1	3	3	3	3	3	1	1	1	1	1	3	1	1	1	3	3	3	3	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	3	3	3	3	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	3	3	3	3	3	0	3	3	3	3	3	0	3	3	3	1	1	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	3	1	0	0	3	0	3	0	0	1	1	1	3	3	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	3	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	1	1	1	0	1	3	3	3	1	0	3	1	1	1	3	3	3	1	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	1	1	1	3	1	1	1	1	0	1	1	0	0	3	0	0
